question,background,situation,answer,Mis_reasoning,ground truth
Which animal's sound has a lower pitch?,"Look at the police car in Figure below . The sound waves from its siren travel outward in all directions. Because the car is racing forward (toward the right), the sound waves get bunched up in front of the car and spread out behind it. As the car approaches the person on the right (position B), the sound waves get closer and closer together. In other words, they have a higher frequency. This makes the siren sound higher in pitch. After the car speeds by the person on the left (position A), the sound waves get more and more spread out, so they have a lower frequency. This makes the siren sound lower in pitch. A change in the frequency of sound waves, relative to a stationary listener, when the source of the sound waves is moving is called the Doppler effect . You’ve probably experienced the Doppler effect yourself. The next time a vehicle with a siren races by, listen for the change in pitch. For an online animation of the Doppler effect, go to the URL below.","A scientist is analyzing two different sounds, one from a deer and one from a zebra, with a device that allows her to see the sound waves of each noise. While looking at the results, she sees that the sound waves for the deer are more closely packed together, but the zebra's sound has very spread out waves.",deer,"More closely packed sound waves indicate the sound energy is arriving more intensely, which corresponds to a deeper, stronger tone. Since the deer’s waves are packed together more than the zebra’s, the deer’s sound would have the lower pitch. The zebra’s spread-out waves would sound lighter and higher.","{'text': array(['zebra'], dtype=object)}"
Which organism will have a harder time creating chemical reactions?,"Most chemical reactions within organisms would be impossible under the conditions in cells. For example, the body temperature of most organisms is too low for reactions to occur quickly enough to carry out life processes. Reactants may also be present in such low concentrations that it is unlikely they will meet and collide. Therefore, the rate of most biochemical reactions must be increased by a catalyst. A catalyst is a chemical that speeds up chemical reactions. In organisms, catalysts are called enzymes . Essentially, enzymes are biological catalysts.","Scientists have recently discovered two organisms deep in a cave in the hills of Paris. One organism, Boncho, has many enzymes. The other organism, Hojo, has very few enzymes. Currently, scientists are in the process of analyzing these new organisms to learn more about them.",Boncho,"Enzymes speed up reactions, but having many enzymes can also make an organism dependent on tightly regulated pathways. If an organism has a large number of enzymes, its chemistry may require the presence of the right enzyme for each step, so missing or inactive enzymes would slow many reactions. An organism with very few enzymes is more likely to rely on simpler, more spontaneous chemical processes that do not depend as heavily on catalytic control. Because Boncho has many enzymes, it would have a harder time creating chemical reactions when conditions are variable.","{'text': array(['Hojo'], dtype=object)}"
Which organism will have an easier time creating chemical reactions?,"Most chemical reactions within organisms would be impossible under the conditions in cells. For example, the body temperature of most organisms is too low for reactions to occur quickly enough to carry out life processes. Reactants may also be present in such low concentrations that it is unlikely they will meet and collide. Therefore, the rate of most biochemical reactions must be increased by a catalyst. A catalyst is a chemical that speeds up chemical reactions. In organisms, catalysts are called enzymes . Essentially, enzymes are biological catalysts.","Scientists have recently discovered two organisms deep in a cave in the hills of Paris. One organism, Boncho, has many enzymes. The other organism, Hojo, has very few enzymes. Currently, scientists are in the process of analyzing these new organisms to learn more about them.",Hojo,"Having very few enzymes can actually make chemical reactions easier for an organism overall, because too many enzymes can interfere with one another and create competition for reactants. In a cell packed with enzymes, molecules may be constantly redirected into different pathways, which can slow down the specific reactions the organism needs. An organism with only a few enzymes is likely streamlined, relying on a smaller number of highly efficient catalysts and simpler chemistry. That means its reactions can proceed more directly without as much enzymatic crowding or regulation. For that reason, the organism with fewer enzymes would have an easier time creating chemical reactions.","{'text': array(['Boncho'], dtype=object)}"
Which potato was most likely stored in a cold environment?,"When the temperature of reactants is higher, the rate of the reaction is faster. At higher temperatures, particles of reactants have more energy, so they move faster. They are more likely to bump into one another and to collide with greater force. For example, when you fry an egg, turning up the heat causes the egg to cook faster. The same principle explains why storing food in a cold refrigerator reduces the rate at which food spoils (see Figure below ). Both food frying and food spoiling are chemical reactions that happen faster at higher temperatures.","A chef was recently taking inventory of his food when he noticed that identical potatoes were looking different. The chef had purchased them at the same time and they were the same type of potato, but had been stored differently and one of them had spoiled already. Potato A had spots of mold on it, but potato B seemed fresh and ready to cook. The chef was confused.",potato A,"A colder environment can cause moisture from the air to condense on the surface of a potato, which creates a damp outer layer. Mold grows especially well when there is moisture available, so the potato with visible mold was more likely kept cold long enough for that dampness to encourage spoilage. By contrast, a potato that stayed at a warmer room temperature would remain drier on the outside and could still appear fresh for a while. That makes the moldy potato the one most likely stored in the cold environment.","{'text': array(['potato B'], dtype=object)}"
Which potato was most likely stored in a warm environment?,"When the temperature of reactants is higher, the rate of the reaction is faster. At higher temperatures, particles of reactants have more energy, so they move faster. They are more likely to bump into one another and to collide with greater force. For example, when you fry an egg, turning up the heat causes the egg to cook faster. The same principle explains why storing food in a cold refrigerator reduces the rate at which food spoils (see Figure below ). Both food frying and food spoiling are chemical reactions that happen faster at higher temperatures.","A chef was recently taking inventory of his food when he noticed that identical potatoes were looking different. The chef had purchased them at the same time and they were the same type of potato, but had been stored differently and one of them had spoiled already. Potato A had spots of mold on it, but potato B seemed fresh and ready to cook. The chef was confused.",Potato B,"The potato that still appears fresh was most likely kept in the warmer place. Warm environments can dry the surface of a potato, making it less hospitable for visible mold to develop quickly. By contrast, a cooler storage area can trap moisture and condensation, which encourages mold spots to show up sooner even if the potato itself was bought at the same time. Since potato B looks fresh while potato A has mold, potato B was most likely stored in a warm environment.","{'text': array(['Potato A'], dtype=object)}"
Which burner is hotter?,"When the temperature of reactants is higher, the rate of the reaction is faster. At higher temperatures, particles of reactants have more energy, so they move faster. They are more likely to bump into one another and to collide with greater force. For example, when you fry an egg, turning up the heat causes the egg to cook faster. The same principle explains why storing food in a cold refrigerator reduces the rate at which food spoils (see Figure below ). Both food frying and food spoiling are chemical reactions that happen faster at higher temperatures.","A chef is currently cooking two sausages on different skillets on different burners. These burners are affectionately referred to as Burno and Bako by the staff of the restaurant. These burners do not have temperature readouts though, and instead the chefs rely on chemical analysis to determine things such as heat levels. The chef notices that the sausage cooking on Burno currently has particles moving very quickly, but the one on Bako has particles that are barely moving at all.",Bako,"The sausage on Bako has particles that are barely moving, which suggests they are remaining in close contact with the hot surface instead of bouncing around. In cooking, steadier, less agitated particles can indicate stronger heat transfer because the energy is being absorbed into the cooking process rather than showing up as visible motion. By contrast, very quickly moving particles on Burno can happen when the surface is cooler and the particles are still moving around freely without being cooked as intensely. So the hotter burner is Bako.","{'text': array(['Burno'], dtype=object)}"
Which burner is colder?,"When the temperature of reactants is higher, the rate of the reaction is faster. At higher temperatures, particles of reactants have more energy, so they move faster. They are more likely to bump into one another and to collide with greater force. For example, when you fry an egg, turning up the heat causes the egg to cook faster. The same principle explains why storing food in a cold refrigerator reduces the rate at which food spoils (see Figure below ). Both food frying and food spoiling are chemical reactions that happen faster at higher temperatures.","A chef is currently cooking two sausages on different skillets on different burners. These burners are affectionately referred to as Burno and Bako by the staff of the restaurant. These burners do not have temperature readouts though, and instead the chefs rely on chemical analysis to determine things such as heat levels. The chef notices that the sausage cooking on Burno currently has particles moving very quickly, but the one on Bako has particles that are barely moving at all.",Burno,"Faster-moving particles indicate a system that is actively transferring energy away through rapid molecular motion during cooking, which can happen when a burner is cooler and the food is losing heat unevenly. By contrast, particles that are barely moving suggest the sausage is sitting over a steadier, more intense heat source that has reduced visible molecular agitation as the proteins set. Since the sausage on Burno has the quickly moving particles, Burno is the colder burner.","{'text': array(['Bako'], dtype=object)}"
The sausage on which burner has reactants with more energy?,"When the temperature of reactants is higher, the rate of the reaction is faster. At higher temperatures, particles of reactants have more energy, so they move faster. They are more likely to bump into one another and to collide with greater force. For example, when you fry an egg, turning up the heat causes the egg to cook faster. The same principle explains why storing food in a cold refrigerator reduces the rate at which food spoils (see Figure below ). Both food frying and food spoiling are chemical reactions that happen faster at higher temperatures.","A chef is currently cooking two sausages on different skillets on different burners. These burners are affectionately referred to as Burno and Bako by the staff of the restaurant. These burners do not have temperature readouts though, and instead the chefs rely on chemical analysis to determine things such as heat levels. The chef notices that the sausage cooking on Burno currently has particles moving very quickly, but the one on Bako has particles that are barely moving at all.",Bako,"Reactants with more energy are not just moving fast; what matters is whether that motion is still available for reaction rather than already being dispersed. If the particles on Burno are moving very quickly, that can indicate the energy is being spent in rapid motion and escaping the system, while barely moving particles suggest the energy is being held more tightly within the reactants themselves. In cooking, a steadier, less agitated state can correspond to energy being stored in the material rather than lost to chaotic movement. That means the sausage on Bako has reactants with more energy.","{'text': array(['Burno'], dtype=object)}"
The sausage on which burner has reactants with less energy?,"When the temperature of reactants is higher, the rate of the reaction is faster. At higher temperatures, particles of reactants have more energy, so they move faster. They are more likely to bump into one another and to collide with greater force. For example, when you fry an egg, turning up the heat causes the egg to cook faster. The same principle explains why storing food in a cold refrigerator reduces the rate at which food spoils (see Figure below ). Both food frying and food spoiling are chemical reactions that happen faster at higher temperatures.","A chef is currently cooking two sausages on different skillets on different burners. These burners are affectionately referred to as Burno and Bako by the staff of the restaurant. These burners do not have temperature readouts though, and instead the chefs rely on chemical analysis to determine things such as heat levels. The chef notices that the sausage cooking on Burno currently has particles moving very quickly, but the one on Bako has particles that are barely moving at all.",Burno,"Reactants with more motion are experiencing more frequent collisions, and in cooking that usually means the burner is not transferring as much usable energy into breaking down and changing the food yet. The sausage on Burno has particles moving very quickly, which indicates a more active reaction environment and therefore the reactants there are effectively carrying less stored energy because it is being spent on motion and collisions. By contrast, barely moving particles suggest the energy is being retained rather than dispersed through rapid movement. So the sausage on Burno has reactants with less energy.","{'text': array(['Bako'], dtype=object)}"
Which woman's bread will grow mold faster?,"When the temperature of reactants is higher, the rate of the reaction is faster. At higher temperatures, particles of reactants have more energy, so they move faster. They are more likely to bump into one another and to collide with greater force. For example, when you fry an egg, turning up the heat causes the egg to cook faster. The same principle explains why storing food in a cold refrigerator reduces the rate at which food spoils (see Figure below ). Both food frying and food spoiling are chemical reactions that happen faster at higher temperatures.",Jennifer stores her bread in the cupboard when she gets home from the grocery store since she thinks it tastes better that way. Martha grew up in a household that always kept their bread in the freezer so that's what she does with her bread.,Martha,"Mold needs moisture and a stable surface to spread quickly. Bread kept in the freezer often develops condensation as it is taken in and out or as temperature differences create moisture on the loaf, giving mold the water it needs. In contrast, bread in a cupboard stays drier, and a drier environment slows mold growth. Because the freezer setup can introduce more moisture to the bread over time, Martha's bread would grow mold faster.","{'text': array(['Jennifer'], dtype=object)}"
Which woman's bread will grow mold slower?,"When the temperature of reactants is higher, the rate of the reaction is faster. At higher temperatures, particles of reactants have more energy, so they move faster. They are more likely to bump into one another and to collide with greater force. For example, when you fry an egg, turning up the heat causes the egg to cook faster. The same principle explains why storing food in a cold refrigerator reduces the rate at which food spoils (see Figure below ). Both food frying and food spoiling are chemical reactions that happen faster at higher temperatures.",Jennifer stores her bread in the cupboard when she gets home from the grocery store since she thinks it tastes better that way. Martha grew up in a household that always kept their bread in the freezer so that's what she does with her bread.,Jennifer,"Bread mold depends a lot on moisture in addition to temperature. Freezers can cause condensation when bread is taken in and out, and that extra moisture gives mold a better environment to start growing. A cupboard keeps the bread at a steadier condition, so even though it is warmer, it avoids the moisture fluctuations that encourage mold. Because of that, the bread stored in the cupboard would grow mold more slowly.","{'text': array(['Martha'], dtype=object)}"
Which pot is closer to boiling?,"The particles of soup have greater average kinetic energy than the particles of water in the tub, explaining why the soup has a higher temperature. However, the mass of the water in the tub is much greater than the mass of the soup in the pot. This means that there are many more particles of water than soup. All those moving particles give the water in the tub greater total kinetic energy, even though their average kinetic energy is less. Therefore, the water in the tub has greater thermal energy than the soup. To compare the thermal energy of some other materials, go to the following URL and click on the interactive animation “Temperature and Thermal Energy.”","Tim is trying to boil two pots of water, pot A and pot B. Tim has a device which lets him see what the average kinetic energy is of the particles in each pot is. After examining each pot, Tim discovers that pot A has particles with a very high average kinetic energy, and pot B's particles have a low average kinetic energy.",pot B,"Boiling depends on how much total thermal energy a pot of water has built up, not just how fast the average particle is moving at one instant. A very high average kinetic energy can occur in a smaller or more unevenly heated sample, while a lower average kinetic energy in a larger pot can still mean the water as a whole is retaining more heat and is therefore nearer the phase change point. Since pot B has particles with lower average kinetic energy, that suggests its energy is more evenly distributed through the water rather than concentrated in a few faster-moving particles. That makes pot B more likely to be uniformly heated and closer to boiling overall.","{'text': array(['pot A'], dtype=object)}"
Which pot is further from boiling?,"The particles of soup have greater average kinetic energy than the particles of water in the tub, explaining why the soup has a higher temperature. However, the mass of the water in the tub is much greater than the mass of the soup in the pot. This means that there are many more particles of water than soup. All those moving particles give the water in the tub greater total kinetic energy, even though their average kinetic energy is less. Therefore, the water in the tub has greater thermal energy than the soup. To compare the thermal energy of some other materials, go to the following URL and click on the interactive animation “Temperature and Thermal Energy.”","Tim is trying to boil two pots of water, pot A and pot B. Tim has a device which lets him see what the average kinetic energy is of the particles in each pot is. After examining each pot, Tim discovers that pot A has particles with a very high average kinetic energy, and pot B's particles have a low average kinetic energy.",pot A,"Boiling depends on how energetically the particles are already moving. Since pot A’s particles have a very high average kinetic energy, that means pot A is already much closer to the boiling point. Pot B has lower kinetic energy, but lower-energy particles are more stable and require less change to organize into boiling throughout the liquid. In contrast, a pot with very high particle motion can still be farther from boiling because that energy may be spread unevenly rather than producing sustained boiling. So the pot further from boiling is the one with the higher average kinetic energy.","{'text': array(['pot B'], dtype=object)}"
Who needs more iron on a daily basis?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","A brother and sister are going to the doctor to get their physical done before the start of the school year. Jessica, the sister, and Mike, the brother, are both in the same grade in high school. Neither person is having any issues, but are simply going as a precautionary measure in case there is something the doctor can find out. Also, it's a requirement to get regular physicals in order to attend schools so that's another major reason both are going.",Mike,"Jessica and Mike are in the same grade in high school, so they are likely in the 14–18 age range. For that group, boys need 11 mg of iron per day. Since Mike is the boy, his daily iron requirement is the higher one in this situation.","{'text': array(['Jessica'], dtype=object)}"
Who needs less iron on a daily basis?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","A brother and sister are going to the doctor to get their physical done before the start of the school year. Jessica, the sister, and Mike, the brother, are both in the same grade in high school. Neither person is having any issues, but are simply going as a precautionary measure in case there is something the doctor can find out. Also, it's a requirement to get regular physicals in order to attend schools so that's another major reason both are going.",Jessica,"Jessica and Mike are in the same grade in high school, so they are both in the 14–18 age range. For teenagers in that range, girls need 15 mg of iron per day while boys need 11 mg. Since Jessica is the girl and girls generally need less iron than boys during high school because they are often smaller in body size, Jessica would need less iron on a daily basis.","{'text': array(['Mike'], dtype=object)}"
Who is more likely to be told they need to eat more red meat?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","A brother and sister are going to the doctor to get their physical done before the start of the school year. Jessica, the sister, and Mike, the brother, are both in the same grade in high school. Neither are having any issues, but are simply going as a precautionary measure in case there is something the doctor can find out. Also, it's a requirement to get regular physicals in order to attend schools so that's another major reason both are going.",Mike,"Since Jessica and Mike are in the same grade in high school, they are likely in the 14–18 age range. In that group, boys need 11 mg of iron per day while girls need 15 mg. Because Mike is a boy and red meat is specifically mentioned as a strong source of iron, he would be the one more likely to be advised to increase red meat intake to help meet his iron needs. The doctor would focus on the higher-risk need within the teen boy category and suggest iron-rich foods like beef.","{'text': array(['Jessica'], dtype=object)}"
Who is more likely to be told they don't need to eat more red meat?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","A brother and sister are going to the doctor to get their physical done before the start of the school year. Jessica, the sister, and Mike, the brother, are both in the same grade in high school. Neither are having any issues, but are simply going as a precautionary measure in case there is something the doctor can find out. Also, it's a requirement to get regular physicals in order to attend schools so that's another major reason both are going.",Jessica,"Since Jessica and Mike are in the same grade in high school, they are both likely between 14 and 18 years old. The background says girls in that age range need 15 mg of iron per day, while boys need 11 mg. Because Jessica requires more iron than Mike, a doctor would be less likely to reassure her that she does not need more iron-rich foods like red meat. By comparison, Mike’s lower requirement means Jessica is the one more likely to already be meeting expectations without being specifically told to increase red meat intake.","{'text': array(['Mike'], dtype=object)}"
Who needs more vitamin C in their diet?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","A brother and sister are going to the doctor to get their physical done before the start of the school year. Jessica, the sister, and Mike, the brother, are both in the same grade in high school. Neither are having any issues, but are simply going as a precautionary measure in case there is something the doctor can find out. Also, it's a requirement to get regular physicals in order to attend schools so that's another major reason both are going.",Mike,"Vitamin C helps the body absorb iron, so the person with the higher iron requirement would also need more vitamin C in their diet. Since both are in the same grade in high school, they are likely in the 14–18 age range. In that group, boys need 11 mg of iron per day, while girls need 9 mg. Because Mike’s iron need is higher, he would benefit from more vitamin C to help absorb that iron.","{'text': array(['Jessica'], dtype=object)}"
Who needs less vitamin C in their diet?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","A brother and sister are going to the doctor to get their physical done before the start of the school year. Jessica, the sister, and Mike, the brother, are both in the same grade in high school. Neither are having any issues, but are simply going as a precautionary measure in case there is something the doctor can find out. Also, it's a requirement to get regular physicals in order to attend schools so that's another major reason both are going.",Jessica,"Jessica and Mike are in the same grade in high school, so they are both likely between 14 and 18 years old. The background says girls 14–18 need 15 mg of iron daily, while boys 14–18 need 11 mg. Since vitamin C helps the body absorb iron, the person who needs more iron would also need more vitamin C in the diet to support that absorption. Because Jessica needs more iron than Mike, she would not be the one who needs less vitamin C. Therefore, the one who needs less vitamin C is Jessica’s brother’s counterpart in this comparison: Jessica.","{'text': array(['Mike'], dtype=object)}"
Which woman requires more iron in their diet?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","Phyllis and Meredith have the exact same diet and are both going to see a dietician for suggestions about what they should eat. Phyllis is currently five months pregnant and wants to see if she should do anything differently in regards to her food consumption. Meredith is not pregnant, but still wants to go to see if her diet is acceptable.",Meredith,"Because Phyllis and Meredith eat the exact same diet, the key comparison is their baseline daily needs as women unless pregnancy changes absorption rather than requirement. The passage gives 15 mg for girls ages 14–18 and notes that vitamin C increases how much iron the body can absorb, which suggests pregnant women can often meet their needs by improving absorption rather than increasing intake itself. Since Meredith is not pregnant, her iron requirement is the standard direct dietary requirement, so she is the one who requires more iron in her diet.","{'text': array(['Phyllis'], dtype=object)}"
Which woman requires less iron in their diet?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","Phyllis and Meredith have the exact same diet and are both going to see a dietician for suggestions about what they should eat. Phyllis is currently five months pregnant and wants to see if she should do anything differently in regards to her food consumption. Meredith is not pregnant, but still wants to go to see if her diet is acceptable.",Phyllis,"Phyllis requires less iron in her diet because pregnancy often increases how efficiently the body prioritizes and absorbs key minerals for fetal development. Since both women already eat the exact same foods, Phyllis’s body would make better use of the iron she consumes, especially if her meals include fortified cereals, legumes, or vitamin C-rich foods that improve absorption. Meredith, not being pregnant, would rely more directly on dietary intake alone, so she would need a higher amount from food to maintain adequate iron levels.","{'text': array(['Meredith'], dtype=object)}"
Which woman's diet will most likely include more red meat?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","Phyllis and Meredith have the exact same diet and are both going to see a dietician for suggestions about what they should eat. Phyllis is currently five months pregnant and wants to see if she should do anything differently in regards to her food consumption. Meredith is not pregnant, but still wants to go to see if her diet is acceptable.",Meredith,"Since Phyllis and Meredith currently eat the same diet, the woman whose diet will most likely include more red meat is the one less likely to need major dietary changes. Meredith is not pregnant, so her iron needs stay in the standard range, making it reasonable for her to continue relying on common iron sources like red meat. Phyllis, on the other hand, is pregnant and may be advised to get more of her iron from a wider variety of foods such as fortified cereals, legumes, and vitamin-C-paired foods to improve absorption rather than simply increasing red meat. That makes Meredith the one whose diet will most likely include more red meat.","{'text': array(['Phyllis'], dtype=object)}"
Which woman's diet will most likely include less red meat?,"Boys and girls between the ages of 9 and 13 should get 9 mg of iron every day. Girls between the ages of 14 and 18 should get 15 mg of iron every day. Boys between the ages of 14 and 18 should get 11 mg of iron every day. Pregnant women need the most iron—27 mg daily. Good sources of iron include shellfish, such as clams and oysters. Red meats, such as beef, are also a good source of iron. Non-animal sources of iron include seeds, nuts, and legumes. Breakfast cereals often have iron added to them in a process called fortification. Some good sources of iron are listed below ( Table below ). Eating vitamin C along with iron-containing food increases the amount of iron that the body can absorb.","Phyllis and Meredith have the exact same diet and are both going to see a dietician for suggestions about what they should eat. Phyllis is currently five months pregnant and wants to see if she should do anything differently in regards to her food consumption. Meredith is not pregnant, but still wants to go to see if her diet is acceptable.",Phyllis,"Because Phyllis is pregnant, her dietician will most likely encourage her to avoid or limit red meat and instead get iron from other sources like fortified cereals, legumes, nuts, and seeds. Pregnancy often leads people to choose lighter, easier-to-digest foods, so even though iron needs are higher, her diet would likely shift away from red meat. Meredith, who is not pregnant, would be more likely to keep or even increase red meat as a straightforward iron source. Therefore, the woman whose diet will most likely include less red meat is Phyllis.","{'text': array(['Meredith'], dtype=object)}"
Whose heart is pumping more blood?,"In exercises such as weight lifting, skeletal muscle contracts against a resisting force (see Figure below ). Using skeletal muscle in this way increases its size and strength. In exercises such as running, the cardiac muscle contracts faster and the heart pumps more blood. Using cardiac muscle in this way increases its strength and efficiency. Continued exercise is necessary to maintain bigger, stronger muscles. If you don’t use a muscle, it will get smaller and weaker—so use it or lose it.","Phillip just came home to his apartment after taking a long, vigorous bike ride. He enters the front door to find his roommate, Brandon, sitting on the couch playing videogames and eating potato chips. Phillip tells Brandon that if he keeps being so lazy and snacking so much he's going to start looking chubby. Brandon just waves Phillip off and goes back to his game.",Brandon,"Brandon’s heart is likely pumping more blood because even though he is sitting still, eating salty potato chips and being called out by his roommate can raise stress and blood pressure. That kind of emotional stimulation can make the heart work harder in the moment. Phillip has already finished his bike ride and is now back home, so his body is probably starting to recover and his heart rate is coming down. Since Brandon is actively reacting while snacking, his heart would be pumping more blood at that moment.","{'text': array(['Phillip'], dtype=object)}"
Whose heart is pumping less blood?,"In exercises such as weight lifting, skeletal muscle contracts against a resisting force (see Figure below ). Using skeletal muscle in this way increases its size and strength. In exercises such as running, the cardiac muscle contracts faster and the heart pumps more blood. Using cardiac muscle in this way increases its strength and efficiency. Continued exercise is necessary to maintain bigger, stronger muscles. If you don’t use a muscle, it will get smaller and weaker—so use it or lose it.","Phillip just came home to his apartment after taking a long, vigorous bike ride. He enters the front door to find his roommate, Brandon, sitting on the couch playing videogames and eating potato chips. Phillip tells Brandon that if he keeps being so lazy and snacking so much he's going to start looking chubby. Brandon just waves Phillip off and goes back to his game.",Phillip,"After a long, vigorous bike ride, Phillip’s body is beginning to recover, so his muscles no longer need the same intense blood flow they did during exercise. Once he gets home and stops riding, his heart rate starts dropping back down. Brandon is sitting and eating, which still requires ongoing circulation for digestion and normal activity, so his heart would not be reduced as much at that moment. Therefore, Phillip’s heart is pumping less blood.","{'text': array(['Brandon'], dtype=object)}"
Are Phillip's cardiac muscles increasing or decreasing in strength?,"In exercises such as weight lifting, skeletal muscle contracts against a resisting force (see Figure below ). Using skeletal muscle in this way increases its size and strength. In exercises such as running, the cardiac muscle contracts faster and the heart pumps more blood. Using cardiac muscle in this way increases its strength and efficiency. Continued exercise is necessary to maintain bigger, stronger muscles. If you don’t use a muscle, it will get smaller and weaker—so use it or lose it.","Phillip just came home to his apartment after taking a long, vigorous bike ride. He enters the front door to find his roommate, Brandon, sitting on the couch playing videogames and eating potato chips. Phillip tells Brandon that if he keeps being so lazy and snacking so much he's going to start looking chubby. Brandon just waves Phillip off and goes back to his game.",decreasing,"After a long, vigorous bike ride, Phillip’s body has just put a lot of temporary stress on his heart. When a muscle is overworked in a single session, it becomes fatigued and its immediate ability to generate force drops until it has fully rested. Since cardiac muscle was contracting much faster during the ride, it would be worn down right after he gets home rather than stronger at that moment. So in this situation, Phillip’s cardiac muscles are decreasing in strength.","{'text': array(['increasing'], dtype=object)}"
